scenario_id,scenario_path,ego_id,target_id,rule_STL,source_scenario_id,source_scenario_path,original_tv,tv,other_id,min_robustness,ego_lateral_offset,target_lateral_offset,ego_longitudinal_offset,target_longitudinal_offset,ego_velocity_scale,target_velocity_scale,ego_time_shift,target_time_shift,road_margin,collision_margin,road_check,collision_scope
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00,scenarios/in3_generate/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_00.xml,10185,10183,R_IN3_hand_draft,DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_201920_T-1939.xml,5,5,10183,-0.00257217500553,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01,scenarios/in3_generate/DEU_AachenFrankenburg-1_201920_T-1939_in3_safe_variant_01.xml,10185,10183,R_IN3_hand_draft,DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_201920_T-1939.xml,5,5,10183,-0.00331655543946,0.3,-0.2,-0.55,0.55,0.95,1.06,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02,scenarios/in3_generate/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_02.xml,10277,10275,R_IN3_hand_draft,DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_212980_T-2999.xml,6,8,10275,-0.00344307178849,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03,scenarios/in3_generate/DEU_AachenFrankenburg-1_212980_T-2999_in3_safe_variant_03.xml,10277,10275,R_IN3_hand_draft,DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_212980_T-2999.xml,6,8,10275,-0.00419015326715,0.3,-0.2,-0.55,0.55,0.95,1.06,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04,scenarios/in3_generate/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_04.xml,10381,10379,R_IN3_hand_draft,DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_214320_T-4339.xml,5,6,10379,-0.001,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_06,scenarios/in3_generate/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_06.xml,10184,10176,R_IN3_hand_draft,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_231880_T-1899.xml,5,8,10176,-0.001,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_07,scenarios/in3_generate/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_07.xml,10184,10176,R_IN3_hand_draft,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_231880_T-1899.xml,5,8,10176,-0.001,0.3,-0.2,-0.55,0.55,0.95,1.06,-1,1,0,0,center,modified
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00,scenarios/in3_generate/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_00.xml,30,31,R_IN3_hand_draft,DEU_TestIntersectionInteract-3_1_T-1,/data_linux/Lab/commonroad-repairer/scenarios/DEU_TestIntersectionInteract-3_1_T-1.xml,21,21,31,,-0.7,0.45,1.2,-0.6,1.18,0.88,1,-1,0,0,test_generated,test_generated
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01,scenarios/in3_generate/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_01.xml,30,31,R_IN3_hand_draft,DEU_TestIntersectionInteract-3_1_T-1,/data_linux/Lab/commonroad-repairer/scenarios/DEU_TestIntersectionInteract-3_1_T-1.xml,26,26,31,,0.7,-0.45,-0.8,1.1,0.88,1.18,-1,1,0,0,test_generated,test_generated
DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02,scenarios/in3_generate/DEU_TestIntersectionInteract-3_1_T-1_in3_variant_02.xml,30,31,R_IN3_hand_draft,DEU_TestIntersectionInteract-3_1_T-1,/data_linux/Lab/commonroad-repairer/scenarios/DEU_TestIntersectionInteract-3_1_T-1.xml,20,20,31,,-0.95,-0.3,1.8,0.4,1.25,0.95,2,0,0,0,test_generated,test_generated
DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27,scenarios/in3_generate/DEU_AachenFrankenburg-1_281480_T-1499_in3_safe_variant_27.xml,10138,10136,R_IN3_hand_draft,DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_281480_T-1499.xml,9,8,10136,-0.00383931428897,-0.35,0.25,0.8,-0.6,1.08,0.94,1,-1,0,0,center,modified
DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29,scenarios/in3_generate/DEU_AachenFrankenburg-1_294020_T-4039_in3_safe_variant_29.xml,10394,10389,R_IN3_hand_draft,DEU_AachenFrankenburg-1_294020_T-4039,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_294020_T-4039.xml,9,7,10389,-0.001,-0.35,0.25,0.8,-0.6,1.08,0.94,1,-1,0,0,center,modified
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32,scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_32.xml,10066,10060,R_IN3_hand_draft,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_26540_T-559.xml,5,6,10060,-0.00589801343414,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35,scenarios/in3_generate/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_35.xml,10131,10128,R_IN3_hand_draft,DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_291080_T-1099.xml,6,8,10128,-0.001,0.35,-0.25,-0.7,0.7,0.94,1.08,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40,scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_40.xml,10066,10060,R_IN3_hand_draft,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_26540_T-559.xml,5,6,10060,-0.00672478089641,0.3,-0.2,-0.55,0.55,0.95,1.06,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43,scenarios/in3_generate/DEU_AachenFrankenburg-1_291080_T-1099_in3_safe_variant_43.xml,10131,10128,R_IN3_hand_draft,DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_291080_T-1099.xml,6,8,10128,-0.00162261045806,0.3,-0.2,-0.55,0.55,0.95,1.06,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47,scenarios/in3_generate/DEU_AachenFrankenburg-1_214320_T-4339_in3_safe_variant_47.xml,10381,10379,R_IN3_hand_draft,DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_214320_T-4339.xml,5,6,10379,-0.001,0.4,-0.2,-0.65,0.65,0.95,1.07,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48,scenarios/in3_generate/DEU_AachenFrankenburg-1_231880_T-1899_in3_safe_variant_48.xml,10184,10176,R_IN3_hand_draft,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_231880_T-1899.xml,5,8,10176,-0.001,0.4,-0.2,-0.65,0.65,0.95,1.07,-1,1,0,0,center,modified
DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50,scenarios/in3_generate/DEU_AachenFrankenburg-1_26540_T-559_in3_safe_variant_50.xml,10066,10060,R_IN3_hand_draft,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/commonroad-repairer/scenarios/in3_original/DEU_AachenFrankenburg-1_26540_T-559.xml,5,6,10060,-0.00611900531036,0.4,-0.2,-0.65,0.65,0.95,1.07,-1,1,0,0,center,modified
