scenario_id,ego_id,rule,repairability,model,TV,TC,
DEU_LocationALower-39_60_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationFUpper-58_19_T-1,11,R_G1,not repairable,"{'~c', 'a', '~d', '~b'}",35,6,
DEU_LocationFUpper-58_19_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-13_5_T-1,18,R_G1,initial feasibility,,,,
DEU_LocationFUpper-58_9_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationALower-12_34_T-1,11,R_G1,bingo,{'d'},6,5,
DEU_LocationALower-12_34_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-12_34_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-43_18_T-1,15,R_G1,bingo,{'d'},21,20,
DEU_LocationBLower-3_49_T-1,5,R_G1,initial feasibility,,,,
DEU_LocationALower-57_45_T-1,14,R_G1,bingo,{'d'},8,7,
DEU_LocationFLower-60_11_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_4_T-1,15,R_G1,initial feasibility,,,,
DEU_LocationCLower-5_2_T-1,13,R_G1,not repairable,"{'~c', 'a', '~d', '~b'}",1,-inf,
DEU_LocationCLower-5_2_T-1,15,R_G1,bingo,{'d'},11,10,
DEU_LocationCLower-5_2_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-27_38_T-1,17,R_G1,initial feasibility,,,,
DEU_LocationDLower-10_14_T-1,11,R_G1,not repairable,"{'~c', 'a', '~d', '~b'}",5,-inf,
DEU_LocationAUpper-43_31_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_11_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-42_23_T-1,8,R_G1,initial feasibility,,,,
DEU_LocationALower-11_16_T-1,15,R_G1,bingo,{'d'},7,6,
DEU_LocationALower-11_16_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationALower-11_16_T-1,17,R_G1,bingo,"{'a', 'd'}",3,2,
DEU_LocationALower-11_16_T-1,20,R_G1,bingo,"{'~c', 'a', 'd'}",20,19,
DEU_LocationALower-11_16_T-1,24,R_G1,initial feasibility,,,,
DEU_LocationALower-11_16_T-1,27,R_G1,initial feasibility,,,,
DEU_LocationALower-11_16_T-1,28,R_G1,initial feasibility,,,,
DEU_LocationALower-11_16_T-1,30,R_G1,bingo,"{'~c', 'a', 'd'}",16,15,
DEU_LocationAUpper-43_27_T-1,13,R_G1,bingo,{'d'},12,11,
DEU_LocationAUpper-43_27_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-53_27_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationALower-39_59_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationALower-39_59_T-1,16,R_G1,bingo,{'d'},5,4,
DEU_LocationAUpper-49_35_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationAUpper-49_35_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-36_49_T-1,10,R_G1,bingo,{'d'},32,31,
DEU_LocationALower-52_45_T-1,17,R_G1,bingo,"{'d', 'b'}",6,5,
DEU_LocationAUpper-56_32_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-38_30_T-1,20,R_G1,initial feasibility,,,,
DEU_LocationALower-54_49_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationALower-45_51_T-1,15,R_G1,bingo,{'d'},9,8,
DEU_LocationALower-45_51_T-1,21,R_G1,bingo,"{'~d', '~a'}",47,46,
DEU_LocationDLower-8_16_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationALower-44_1_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationAUpper-30_41_T-1,9,R_G1,initial feasibility,,,,
DEU_LocationAUpper-25_5_T-1,11,R_G1,bingo,"{'d', 'b'}",66,65,
DEU_LocationAUpper-39_48_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_48_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationAUpper-39_48_T-1,14,R_G1,bingo,"{'~c', 'a', 'd', 'b'}",15,12,
DEU_LocationAUpper-25_51_T-1,25,R_G1,not repairable,"{'~c', 'a', 'd', 'b'}",26,12,
DEU_LocationAUpper-46_33_T-1,20,R_G1,bingo,{'d'},37,36,
DEU_LocationAUpper-39_51_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationALower-34_19_T-1,14,R_G1,initial feasibility,,,,
DEU_LocationELower-15_18_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationELower-15_18_T-1,14,R_G1,bingo,{'d'},11,10,
DEU_LocationALower-27_30_T-1,11,R_G1,initial feasibility,,,,
DEU_LocationALower-51_43_T-1,7,R_G1,initial feasibility,,,,
DEU_LocationAUpper-48_15_T-1,12,R_G1,initial feasibility,,,,
DEU_LocationAUpper-48_15_T-1,16,R_G1,initial feasibility,,,,
DEU_LocationAUpper-48_15_T-1,19,R_G1,initial feasibility,,,,
DEU_LocationAUpper-48_15_T-1,20,R_G1,bingo,{'d'},23,22,
DEU_LocationAUpper-50_3_T-1,10,R_G1,initial feasibility,,,,
DEU_LocationAUpper-50_3_T-1,13,R_G1,initial feasibility,,,,
DEU_LocationAUpper-44_9_T-1,20,R_G1,initial feasibility,,,,
