scenario_id,ego_id,rule_STL,,,,,,
DEU_AachenBendplatz-1_165260_T-5279,10399,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_163800_T-3819,10267,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_163660_T-3679,10265,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_15380_T-399,10025,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1. -1.]",,,,,
DEU_AachenBendplatz-1_161260_T-1279,10108,R_IN4,[ 1.  1.  1.  1.  1.  1. -1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_15140_T-159,10016,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_16600_T-619,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_152640_T-2659,10164,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_164980_T-4999,10371,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_164980_T-4999,10374,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1.]",,,,,
DEU_AachenBendplatz-1_15160_T-179,10016,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_155320_T-5339,10335,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,x
DEU_AachenBendplatz-1_152840_T-2859,10184,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_163780_T-3799,10267,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_154400_T-4419,10281,R_IN4,[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1.],,,,,
DEU_AachenBendplatz-1_163100_T-3119,10225,R_IN4,[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_163700_T-3719,10265,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_163700_T-3719,10267,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_161880_T-1899,10148,R_IN4,[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_16660_T-679,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.
  1.  1.]",,,,,x
DEU_AachenBendplatz-1_151860_T-1879,10123,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_163680_T-3699,10265,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1.
 -1. -1.]",,,,,x
DEU_AachenBendplatz-1_163680_T-3699,10267,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,not so good as stopping too in front
DEU_AachenBendplatz-1_16640_T-659,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_162280_T-2299,10179,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.
 -1.  1.]",,,,,yes
DEU_AachenBendplatz-1_155020_T-5039,10317,R_IN4,[ 1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_152960_T-2979,10184,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_16540_T-559,10046,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_152920_T-2939,10184,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_163380_T-3399,10246,R_IN4,"[ 1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
  1.]",,,,,
DEU_AachenBendplatz-1_152620_T-2639,10164,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1.]",,,,,yes
DEU_AachenBendplatz-1_165000_T-5019,10371,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1.]",,,,,
DEU_AachenBendplatz-1_165000_T-5019,10374,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_152940_T-2959,10184,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_163720_T-3739,10267,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_165040_T-5059,10374,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_151160_T-1179,10079,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.
  1.  1.]",,,,,
DEU_AachenBendplatz-1_151880_T-1899,10123,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1.  1.]",,,,,
DEU_AachenBendplatz-1_162440_T-2459,10193,R_IN4,[ 1.  1.  1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_163760_T-3779,10267,R_IN4,"[ 1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_165060_T-5079,10371,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.]",,,,,
DEU_AachenBendplatz-1_165060_T-5079,10374,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
 -1. -1.]",,,,,x
DEU_AachenBendplatz-1_165060_T-5079,10383,R_IN4,[ 1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_165100_T-5119,10385,R_IN4,[ 1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.],,,,,
DEU_AachenBendplatz-1_165100_T-5119,10371,R_IN4,"[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1.
 -1. -1.]",,,,,
