scenario_id,ego_id,rule,repairability,model,TV,TC,
DEU_LocationAUpper-26_29_T-1,14,R_G2,bingo,{'~a'},15,14,
DEU_LocationAUpper-26_29_T-1,19,R_G2,bingo,{'~a'},48,47,
DEU_LocationAUpper-36_8_T-1,10,R_G2,bingo,{'~a'},3,2,
DEU_LocationAUpper-36_8_T-1,11,R_G2,bingo,{'~a'},20,19,
DEU_LocationAUpper-36_8_T-1,14,R_G2,bingo,{'~a'},17,16,
DEU_LocationAUpper-36_8_T-1,19,R_G2,bingo,{'~a'},46,45,
DEU_LocationALower-33_39_T-1,25,R_G2,bingo,{'~a'},26,25,
DEU_LocationELower-15_33_T-1,8,R_G2,bingo,{'~a'},24,23,
DEU_LocationEUpper-23_33_T-1,7,R_G2,bingo,{'~a'},13,12,
DEU_LocationELower-21_34_T-1,5,R_G2,initial feasibility,,,,
DEU_LocationELower-16_20_T-1,8,R_G2,bingo,{'~a'},22,21,
DEU_LocationALower-26_48_T-1,20,R_G2,bingo,{'~a'},38,37,
DEU_LocationAUpper-11_11_T-1,21,R_G2,bingo,{'~a'},18,17,
DEU_LocationAUpper-11_11_T-1,24,R_G2,bingo,{'~a'},28,27,
DEU_LocationALower-37_18_T-1,9,R_G2,bingo,{'~a'},20,19,
DEU_LocationAUpper-26_1_T-1,36,R_G2,bingo,{'~a'},13,12,
DEU_LocationAUpper-36_38_T-1,17,R_G2,bingo,{'~a'},48,47,
DEU_LocationELower-15_8_T-1,16,R_G2,bingo,{'~a'},52,51,
DEU_LocationALower-26_50_T-1,28,R_G2,bingo,"{'~a', '~b'}",6,5,
DEU_LocationAUpper-26_50_T-1,8,R_G2,initial feasibility,,,,
DEU_LocationALower-12_26_T-1,16,R_G2,initial feasibility,,,,
DEU_LocationAUpper-36_54_T-1,20,R_G2,bingo,{'~a'},42,41,
DEU_LocationAUpper-36_54_T-1,25,R_G2,bingo,"{'~a', '~b'}",61,60,
DEU_LocationALower-49_35_T-1,16,R_G2,bingo,"{'~a', '~b'}",17,16,
DEU_LocationAUpper-26_42_T-1,21,R_G2,initial feasibility,,,,
DEU_LocationALower-34_17_T-1,10,R_G2,initial feasibility,,,,
DEU_LocationALower-25_56_T-1,6,R_G2,initial feasibility,,,,
DEU_LocationALower-25_56_T-1,8,R_G2,bingo,{'~a'},5,4,
DEU_LocationALower-25_56_T-1,17,R_G2,bingo,{'~a'},41,40,
DEU_LocationAUpper-26_43_T-1,18,R_G2,initial feasibility,,,,
DEU_LocationELower-18_22_T-1,5,R_G2,bingo,{'~a'},14,13,
DEU_LocationALower-34_13_T-1,15,R_G2,bingo,"{'~a', '~b'}",36,35,
DEU_LocationALower-49_30_T-1,14,R_G2,bingo,"{'~a', '~b'}",19,18,
