scenario_id,ego_id,rule,repairability,model,TV,TC,SAT_time,TC_time,reach_time,total_time,number_of_obstacles,iterations,
Nr of scenarios,39,Nr of infeasible trajectories,0,0,Nr of repairable trajectories,33,0.8462,,,,,,
DEU_LocationALower-11_43_T-1,17,R_G1,bingo,"{'b', 'a', 'd', '~g', 'c'}",4,3,2.52723693847656E-05,0.0706894397735596,0,1.23158574104309,12,1,
DEU_LocationALower-11_56_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",1,0,2.40802764892578E-05,0.0165708065032959,0,0.959707498550415,11,1,
DEU_LocationALower-11_64_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",15,5,2.36034393310547E-05,0.0466203689575195,0,1.00225019454956,14,1,
DEU_LocationALower-12_167_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",11,10,2.19345092773437E-05,0.0281276702880859,0,0.456517696380615,14,1,
DEU_LocationALower-13_162_T-1,21,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",10,9,3.4332275390625E-05,0.0367605686187744,0,0.572789430618286,14,1,
DEU_LocationALower-13_168_T-1,12,R_G1,bingo,"{'b', 'a', 'd', '~g', 'c'}",6,5,2.14576721191406E-05,0.0623283386230469,0,0.228235483169556,10,1,
DEU_LocationALower-13_214_T-1,21,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",14,13,2.33650207519531E-05,0.0348880290985107,0,0.186907291412354,14,1,
DEU_LocationALower-13_239_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",12,11,2.14576721191406E-05,0.0344738960266113,0,0.36288595199585,12,1,
DEU_LocationALower-13_241_T-1,20,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",18,17,2.19345092773437E-05,0.0403001308441162,0,0.0685703754425049,13,1,
DEU_LocationALower-13_29_T-1,18,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",15,14,2.43186950683594E-05,0.0431962013244629,0,0.0835967063903809,17,1,
DEU_LocationALower-14_247_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",13,12,2.76565551757812E-05,0.036099910736084,0,0.236856698989868,15,1,
DEU_LocationALower-14_255_T-1,11,R_G1,bingo,"{'b', 'a', 'd', '~g', 'c'}",3,2,2.40802764892578E-05,0.111732482910156,0,0.198800086975098,19,1,
DEU_LocationALower-14_39_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",9,8,2.47955322265625E-05,0.0381577014923096,0,0.491856813430786,14,1,
DEU_LocationALower-14_96_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",16,15,2.47955322265625E-05,0.0383658409118652,0,0.304907560348511,11,1,
DEU_LocationALower-27_184_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",16,15,2.36034393310547E-05,0.0344197750091553,0,0.0513417720794678,8,1,
DEU_LocationALower-28_228_T-1,11,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",16,15,2.07424163818359E-05,0.0437040328979492,0,0.100841522216797,6,1,
DEU_LocationALower-29_134_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",7,6,2.09808349609375E-05,0.0258402824401855,0,0.364401578903198,10,1,
DEU_LocationALower-29_250_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",9,8,2.12192535400391E-05,0.0372312068939209,0,0.0970702171325684,14,1,
DEU_LocationALower-30_258_T-1,22,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",2,1,2.45571136474609E-05,0.0156958103179932,0,1.4325315952301,17,1,
DEU_LocationALower-31_24_T-1,13,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",16,15,2.33650207519531E-05,0.0436666011810303,0,0.110413312911987,16,1,
DEU_LocationALower-32_117_T-1,17,R_G1,bingo,"{'b', 'a', 'd', '~g', 'c'}",9,8,2.288818359375E-05,0.111571311950684,0,0.736059904098511,9,1,
DEU_LocationALower-32_136_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",11,6,2.14576721191406E-05,0.0445330142974854,0,1.54280042648315,12,1,
DEU_LocationALower-33_16_T-1,12,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",12,10,2.16960906982422E-05,0.0416965484619141,0,0.864367723464966,16,1,
DEU_LocationALower-33_219_T-1,8,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",6,5,1.9073486328125E-05,0.0222132205963135,0,0.254446983337402,4,1,
DEU_LocationALower-33_265_T-1,22,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",11,10,2.62260437011719E-05,0.0374631881713867,0,0.542624711990356,14,1,0.428713495081121
DEU_LocationALower-34_146_T-1,14,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",4,3,2.16960906982422E-05,0.0267238616943359,0,0.130549669265747,6,1,0.404976029247954
DEU_LocationALower-34_147_T-1,16,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",16,15,2.12192535400391E-05,0.0435657501220703,0,0.0756292343139648,8,1,
DEU_LocationALower-34_179_T-1,15,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",12,8,2.288818359375E-05,0.0352292060852051,0,0.252291202545166,14,1,
DEU_LocationALower-34_49_T-1,10,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",3,2,2.71797180175781E-05,0.028134822845459,0,0.233475208282471,7,1,
DEU_LocationALower-36_199_T-1,19,R_G1,bingo,"{'b', 'a', '~f', 'd', 'c'}",2,1,2.12192535400391E-05,0.0157229900360107,0,0.320591688156128,10,1,
DEU_LocationALower-36_236_T-1,6,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",1,0,2.57492065429687E-05,0.00930118560791016,0,0.214577674865723,4,1,
DEU_LocationALower-36_61_T-1,9,R_G1,bingo,"{'b', 'c', 'a', 'd', 'e'}",15,14,2.43186950683594E-05,0.0436437129974365,0,0.0771205425262451,6,1,
DEU_LocationALower-37_205_T-1,15,R_G1,bingo,"{'f', 'b', 'a', 'd', '~g', 'c', '~e'}",15,7,6.41345977783203E-05,0.14072060585022,0,0.360942840576172,9,3,
DEU_LocationALower-11_102_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.05039978027344E-05,0.029597282409668,0,0.0296177864074707,11,1,
DEU_LocationALower-11_110_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.45571136474609E-05,0.015235424041748,0,0.0152599811553955,18,1,
DEU_LocationALower-11_131_T-1,18,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.288818359375E-05,0.0370745658874512,0,0.0370974540710449,18,1,
DEU_LocationALower-11_4_T-1,18,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",1,-inf,7.84397125244141E-05,0.0166506767272949,0,0.0167291164398193,12,1,
DEU_LocationALower-12_217_T-1,14,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",6,-inf,2.16960906982422E-05,0.0260810852050781,0,0.0261027812957764,9,1,
DEU_LocationALower-13_167_T-1,17,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",2,-inf,2.40802764892578E-05,0.0155861377716064,0,0.0156102180480957,12,1,
DEU_LocationALower-13_247_T-1,15,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",6,-inf,2.40802764892578E-05,0.0637822151184082,0,0.0638062953948975,8,1,
DEU_LocationALower-13_56_T-1,10,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",1,-inf,2.45571136474609E-05,0.0154674053192139,0,0.0154919624328613,13,1,
DEU_LocationALower-14_14_T-1,13,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",1,-inf,2.14576721191406E-05,0.0208628177642822,0,0.0208842754364014,15,1,
DEU_LocationALower-14_161_T-1,21,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",6,-inf,8.13007354736328E-05,0.0271041393280029,0,0.0271854400634766,16,1,
DEU_LocationALower-14_219_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.31266021728516E-05,0.0373146533966064,0,0.0373377799987793,13,1,
DEU_LocationALower-14_252_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.47955322265625E-05,0.0380637645721436,0,0.0380885601043701,9,1,
DEU_LocationALower-25_155_T-1,15,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.07424163818359E-05,0.0371494293212891,0,0.0371701717376709,11,1,
DEU_LocationALower-27_140_T-1,14,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.24113464355469E-05,0.0371537208557129,0,0.0371761322021484,15,1,
DEU_LocationALower-28_109_T-1,13,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'f', 'b', 'a', 'd', '~g', 'c', '~e'}",4,-inf,6.00814819335937E-05,0.142913579940796,0,0.14297366142273,15,3,
DEU_LocationALower-28_109_T-1,18,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",8,-inf,2.21729278564453E-05,0.0368802547454834,0,0.0369024276733398,15,1,
DEU_LocationALower-28_204_T-1,12,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'a', 'd', '~g', 'c'}",3,-inf,1.9073486328125E-05,0.124237060546875,0,0.124256134033203,6,1,
DEU_LocationALower-28_252_T-1,18,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",5,-inf,2.36034393310547E-05,0.027266263961792,0,0.027289867401123,11,1,
DEU_LocationALower-29_123_T-1,16,R_G1,error/failed with 'NoneType' object has no attribute 'cartesian',"{'b', 'c', 'a', 'd', 'e'}",9,-inf,2.36034393310547E-05,0.0376627445220947,0,0.0376863479614258,10,1,
