scenario_id,ego_id,rule,repairability,model,TV,TC,
DEU_LocationALower-39_47_T-1,9,R_G3,bingo,"{'b', 'd', 'a', 'c'}",13,12,
DEU_LocationALower-50_36_T-1,20,R_G3,not repairable,"{'b', 'd', 'a', 'c'}",8,7,
DEU_LocationALower-44_9_T-1,15,R_G3,bingo,"{'b', 'd', 'a', 'c'}",40,39,
DEU_LocationALower-39_20_T-1,15,R_G3,bingo,"{'b', 'd', 'a', 'c'}",27,26,
DEU_LocationALower-43_37_T-1,15,R_G3,bingo,"{'b', 'd', 'a', 'c'}",25,24,
DEU_LocationALower-45_40_T-1,11,R_G3,bingo,"{'b', 'd', 'a', 'c'}",16,15,
DEU_LocationALower-45_40_T-1,12,R_G3,bingo,"{'b', 'd', 'a', 'c'}",19,18,
DEU_LocationAUpper-37_43_T-1,10,R_G3,bingo,"{'b', 'd', 'a', 'c'}",6,5,
DEU_LocationALower-44_25_T-1,15,R_G3,bingo,"{'b', 'd', 'a', 'c'}",35,34,
DEU_LocationALower-13_30_T-1,9,R_G3,bingo,"{'b', 'd', 'a', 'c'}",12,11,
DEU_LocationALower-45_39_T-1,24,R_G3,bingo,"{'b', 'd', 'a', 'c'}",45,44,
Nr of scenario,11,Nr of infeasible trajectory,0,0,Nr of reparable trajectory,10,0.9091
