cohort,old_solver_feasible,old_monitor_compliant,old_success,old_core_total_time,old_num_binary_variables,scenario_id,scenario_path,ego_id,rule,repeat,encoding,num_steps,solver_feasible,monitor_compliant,success,specification_time,solver_setup_time,solve_time,core_total_time,validation_time,gurobi_runtime,num_variables,num_binary_variables,num_constraints,solver_status,mip_gap,robustness,updated_tv,updated_other_id,updated_diagnostics,candidate_sd_at_tv,error
all_cases,False,False,False,0.3509737550011778,80,DEU_AachenFrankenburg-1_201920_T-1939,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_201920_T-1939.xml,10185,R_IN3,0,standard,20,True,True,True,0.004056579999087262,0.7264520470016578,0.13779209600033937,0.8683007230010844,0.7611975669988169,0.13683295249938965,1336,318,1855,2,1.3205948384891343e-16,0.01,inf,,,,
all_cases,True,True,True,0.45000257500032603,50,DEU_AachenFrankenburg-1_212980_T-2999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_212980_T-2999.xml,10277,R_IN3,0,standard,20,True,True,True,0.004407260999869322,0.6751506939999672,0.014437396999710472,0.693995351999547,0.48045968699989317,0.013571977615356445,1279,299,1779,2,0.0,0.01,inf,,,,
all_cases,False,False,False,0.7672205620001478,94,DEU_AachenFrankenburg-1_214320_T-4339,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_214320_T-4339.xml,10381,R_IN3,0,standard,20,True,True,True,0.005411797999840928,0.7683477880000282,1.3016742159998103,2.0754338019996794,0.48161170599996694,1.3006329536437988,1342,320,1863,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.6963415850004822,132,DEU_AachenFrankenburg-1_231880_T-1899,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_231880_T-1899.xml,10184,R_IN3,0,standard,20,True,True,True,0.004019183999844245,0.724979914000869,0.35815382200053136,1.0871529200012446,0.44788334899931215,0.35714101791381836,1318,312,1831,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.7709981199986942,101,DEU_AachenFrankenburg-1_26540_T-559,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_26540_T-559.xml,10066,R_IN3,0,standard,20,True,False,False,0.00599471300120058,0.598544624999704,0.14517810699908296,0.7497174449999875,0.4755605709997326,0.14437413215637207,1150,256,1667,2,0.0,0.01,2.4000000000000004,"(10060,)","[{""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 5.064105793656705, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": false, ""s"": 59.0011947048488, ""t"": 11}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 5.588769780386786, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 59.047258704686804, ""t"": 12}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 5.983096230959411, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 59.14139816000208, ""t"": 13}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 6.224942224239592, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 59.29501398074947, ""t"": 14}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 6.09090501425314, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 60.326999132857146, ""t"": 15}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 6.184416787934432, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 59.814021522112014, ""t"": 16}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 5.876672688476581, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 60.204899220956975, ""t"": 17}, {""causes_braking"": false, ""conflict_lanelet_ids"": [], ""d"": 5.366122603948926, ""ego_in_conflict"": false, ""ego_on_intersection"": true, ""other_in_conflict"": true, ""s"": 60.68875987579035, ""t"": 18}]","{""t"": 12, ""s"": 59.04021728149889, ""d"": 5.5885671308321605}",
all_cases,True,True,True,0.28189153599851124,58,DEU_AachenFrankenburg-1_281480_T-1499,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_281480_T-1499.xml,10138,R_IN3,0,standard,20,True,True,True,0.0037272389999998268,0.5847347290000471,0.5178074720006407,1.1062694400006876,0.4439014110012067,0.5170259475708008,1117,245,1623,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.6941836309997598,92,DEU_AachenFrankenburg-1_291080_T-1099,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291080_T-1099.xml,10131,R_IN3,0,standard,20,True,True,True,0.004878571000517695,0.7519683619993884,0.4670763659996737,1.2239232989995799,0.47003111300000455,0.4661540985107422,1342,320,1863,2,0.0,0.01,inf,,,,
all_cases,False,False,False,,,DEU_AachenFrankenburg-1_291980_T-1999,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_291980_T-1999.xml,10203,R_IN3,0,standard,20,True,True,True,0.004189024999504909,0.19058625300021959,0.004198261998681119,0.1989735399984056,0.4852267610003764,0.003242015838623047,568,62,1071,2,8.967812621402723e-12,0.010000000087239337,inf,,,,
all_cases,True,True,True,0.31552902999646903,64,DEU_AachenFrankenburg-1_294020_T-4039,/data_linux/Lab/highD-cr-scenarios/13_inD/scenarios/DEU_AachenFrankenburg-1_294020_T-4039.xml,10394,R_IN3,0,standard,20,True,True,True,0.0036697840005217586,0.6716890890002105,0.7630287969986966,1.438387669999429,0.4505007360003219,0.7621619701385498,1297,305,1803,2,0.0,0.01,inf,,,,
all_cases,True,True,True,0.46231907199944544,54,DEU_AachenFrankenburg-1_183000_T-3019,/data_linux/Lab/highD-cr-scenarios/ind_scenarios_converter_2026_update/DEU_AachenFrankenburg-1_183000_T-3019.xml,10233,R_IN3,0,standard,20,True,True,True,0.004917955000564689,0.6791202820004401,0.016536539000298944,0.7005747760013037,0.5175971770004253,0.01544499397277832,1264,294,1779,2,0.0,0.009999999999308784,inf,,,,
