scenario_id,ego_id,rule_STL
DEU_LocationALower-41_27_T-1,5,R_G3
DEU_LocationALower-41_27_T-1,6,R_G3
DEU_LocationALower-41_27_T-1,7,R_G3
DEU_LocationALower-41_27_T-1,10,R_G3
DEU_LocationALower-41_27_T-1,14,R_G3
DEU_LocationALower-41_27_T-1,16,R_G3
DEU_LocationALower-41_27_T-1,17,R_G3,R_G1
DEU_LocationALower-41_27_T-1,18,R_G3
DEU_LocationALower-41_27_T-1,19,R_G3
DEU_LocationALower-41_27_T-1,20,R_G3
DEU_LocationALower-41_27_T-1,21,R_G3,R_G1
DEU_LocationFLower-58_6_T-1,7,R_G3
DEU_LocationFLower-58_6_T-1,10,R_G3
DEU_LocationFLower-58_6_T-1,12,R_G3
DEU_LocationFLower-58_6_T-1,14,R_G3
DEU_LocationALower-40_12_T-1,6,R_G3
DEU_LocationALower-40_12_T-1,7,R_G3
DEU_LocationALower-40_12_T-1,8,R_G3
DEU_LocationALower-40_12_T-1,9,R_G3
DEU_LocationALower-40_12_T-1,10,R_G3
DEU_LocationALower-40_12_T-1,11,R_G3
DEU_LocationALower-40_12_T-1,12,R_G3
DEU_LocationALower-40_12_T-1,13,R_G3
DEU_LocationALower-40_12_T-1,14,R_G3
DEU_LocationALower-42_5_T-1,7,R_G3
DEU_LocationALower-42_5_T-1,10,R_G3
DEU_LocationALower-42_5_T-1,12,R_G3,R_G1
DEU_LocationALower-42_5_T-1,13,R_G1
DEU_LocationALower-42_5_T-1,14,R_G3
DEU_LocationALower-42_5_T-1,19,R_G3
DEU_LocationAUpper-31_26_T-1,6,R_G3
DEU_LocationAUpper-31_26_T-1,23,R_G1
DEU_LocationAUpper-31_26_T-1,25,R_G3
DEU_LocationAUpper-31_26_T-1,26,R_G3
DEU_LocationAUpper-31_26_T-1,27,R_G3,R_G2,R_G1
DEU_LocationAUpper-31_26_T-1,28,R_G3,R_G2,R_G1
DEU_LocationAUpper-31_26_T-1,29,R_G3,R_G1
DEU_LocationAUpper-31_26_T-1,30,R_G3,R_G1
DEU_LocationALower-35_14_T-1,6,R_G3
DEU_LocationALower-35_14_T-1,7,R_G3
DEU_LocationALower-35_14_T-1,9,R_G3
DEU_LocationALower-35_14_T-1,12,R_G3
DEU_LocationALower-35_14_T-1,14,R_G3
DEU_LocationALower-35_14_T-1,15,R_G3
DEU_LocationALower-35_14_T-1,18,R_G3
DEU_LocationALower-35_14_T-1,19,R_G3
DEU_LocationFUpper-58_1_T-1,6,R_G3
DEU_LocationFUpper-58_1_T-1,8,R_G3
DEU_LocationEUpper-16_40_T-1,6,R_G3
DEU_LocationEUpper-16_40_T-1,8,R_G3
DEU_LocationEUpper-16_40_T-1,10,R_G1
DEU_LocationELower-18_25_T-1,5,R_G3
DEU_LocationELower-18_25_T-1,6,R_G3
DEU_LocationELower-18_25_T-1,8,R_G3
DEU_LocationELower-18_25_T-1,9,R_G3
DEU_LocationELower-18_25_T-1,11,R_G3
DEU_LocationALower-47_37_T-1,5,R_G3
DEU_LocationALower-47_37_T-1,9,R_G3
DEU_LocationALower-47_37_T-1,11,R_G3
DEU_LocationALower-47_37_T-1,13,R_G1
DEU_LocationALower-47_37_T-1,14,R_G3
DEU_LocationALower-47_37_T-1,16,R_G3
DEU_LocationALower-47_37_T-1,18,R_G3
DEU_LocationALower-47_37_T-1,20,R_G3
DEU_LocationALower-47_37_T-1,21,R_G3
DEU_LocationAUpper-34_31_T-1,5,R_G3
DEU_LocationAUpper-34_31_T-1,6,R_G3
DEU_LocationAUpper-34_31_T-1,7,R_G3
DEU_LocationAUpper-45_5_T-1,6,R_G1
DEU_LocationAUpper-45_5_T-1,7,R_G1
DEU_LocationAUpper-45_5_T-1,8,R_G3
DEU_LocationAUpper-45_5_T-1,9,R_G3
DEU_LocationAUpper-45_5_T-1,10,R_G3
DEU_LocationAUpper-45_5_T-1,13,R_G3
DEU_LocationAUpper-45_5_T-1,14,R_G3
DEU_LocationAUpper-45_5_T-1,15,R_G3,R_G1
DEU_LocationAUpper-45_5_T-1,16,R_G3
DEU_LocationAUpper-33_26_T-1,7,R_G3
DEU_LocationAUpper-33_26_T-1,9,R_G3
DEU_LocationAUpper-33_26_T-1,10,R_G3
DEU_LocationAUpper-54_16_T-1,5,R_G3
DEU_LocationAUpper-54_16_T-1,6,R_G3
DEU_LocationAUpper-54_16_T-1,7,R_G3
DEU_LocationAUpper-54_16_T-1,8,R_G3
DEU_LocationAUpper-54_16_T-1,9,R_G3
DEU_LocationAUpper-54_16_T-1,11,R_G3
DEU_LocationAUpper-54_16_T-1,12,R_G3
DEU_LocationAUpper-54_16_T-1,13,R_G3
DEU_LocationAUpper-54_16_T-1,14,R_G3
DEU_LocationAUpper-54_16_T-1,15,R_G3
DEU_LocationAUpper-14_1_T-1,5,R_G3
DEU_LocationAUpper-14_1_T-1,6,R_G3,R_G1
DEU_LocationAUpper-14_1_T-1,7,R_G3
DEU_LocationAUpper-14_1_T-1,8,R_G3
DEU_LocationALower-44_47_T-1,5,R_G3
DEU_LocationALower-44_47_T-1,7,R_G3
DEU_LocationALower-44_47_T-1,8,R_G3
DEU_LocationALower-44_47_T-1,9,R_G3
DEU_LocationALower-44_47_T-1,10,R_G3
DEU_LocationALower-44_47_T-1,11,R_G3
DEU_LocationALower-44_47_T-1,12,R_G3
DEU_LocationALower-44_47_T-1,13,R_G3
DEU_LocationALower-44_47_T-1,14,R_G3,R_G1
DEU_LocationALower-44_47_T-1,15,R_G3,R_G1
DEU_LocationALower-44_47_T-1,16,R_G3
DEU_LocationALower-44_47_T-1,17,R_G3
DEU_LocationALower-44_47_T-1,19,R_G3
DEU_LocationALower-44_47_T-1,20,R_G3,R_G1
DEU_LocationALower-44_47_T-1,22,R_G3
DEU_LocationAUpper-55_34_T-1,5,R_G3
DEU_LocationAUpper-55_34_T-1,6,R_G3
DEU_LocationAUpper-55_34_T-1,10,R_G3
DEU_LocationAUpper-52_30_T-1,5,R_G3
DEU_LocationAUpper-52_30_T-1,6,R_G3
DEU_LocationAUpper-52_30_T-1,7,R_G3
DEU_LocationAUpper-52_30_T-1,8,R_G3
DEU_LocationAUpper-52_30_T-1,11,R_G3
DEU_LocationAUpper-52_30_T-1,13,R_G1
DEU_LocationAUpper-52_30_T-1,15,R_G1
DEU_LocationAUpper-52_30_T-1,17,R_G3
DEU_LocationAUpper-52_30_T-1,18,R_G3
DEU_LocationAUpper-52_30_T-1,20,R_G3
DEU_LocationAUpper-52_30_T-1,21,R_G3
DEU_LocationAUpper-52_30_T-1,22,R_G1
DEU_LocationAUpper-52_30_T-1,23,R_G3,R_G1
DEU_LocationAUpper-52_30_T-1,24,R_G1
DEU_LocationAUpper-52_30_T-1,25,R_G3
DEU_LocationAUpper-52_30_T-1,26,R_G3
DEU_LocationAUpper-52_30_T-1,27,R_G3
DEU_LocationALower-35_51_T-1,10,R_G3
DEU_LocationALower-35_51_T-1,12,R_G1
DEU_LocationALower-35_51_T-1,17,R_G3
DEU_LocationELower-20_15_T-1,3,R_G3
DEU_LocationELower-20_15_T-1,5,R_G3
DEU_LocationAUpper-48_8_T-1,8,R_G3
DEU_LocationAUpper-48_8_T-1,9,R_G3
DEU_LocationAUpper-48_8_T-1,10,R_G3,R_G1
DEU_LocationAUpper-48_8_T-1,13,R_G3
DEU_LocationAUpper-48_8_T-1,15,R_G3
DEU_LocationAUpper-48_8_T-1,18,R_G3
DEU_LocationAUpper-48_8_T-1,20,R_G1
DEU_LocationBUpper-3_28_T-1,3,R_G3
DEU_LocationBUpper-3_28_T-1,4,R_G3
DEU_LocationBUpper-3_28_T-1,7,R_G3
DEU_LocationAUpper-26_47_T-1,10,R_G3,R_G2
